reqalts , what about spanish food
request , what type of food does it have
null , sil
inform , im looking for a cheap restaurant in the north part of town
inform , south town
inform , i want a modern european
negate , no
request , address and phone number
bye , good bye
inform , im looking for an expensive restaurant in the east part of town
thankyou , thank you good bye
reqalts , what about thai food
deny , i dont want that
inform , any range
request , post code
inform , british food
inform , brazilian food
inform , gastro pub
null , unintelligible
null , noise
inform , i dont care
inform , west
request , what is the address
reqalts , is there anything else
inform , i dont care
request , what is the phone number
request , whats the post code
null , unintelligible
request , phone number
inform , i dont care
reqalts , how about vietnamese type of food
thankyou , thank you good bye
inform , vietnamese food
inform , asian oriental type of food
request , what is the address
request , uh okay how about the address
reqalts , how about indian food
request , phone number
inform , welsh food
reqalts , anything else
affirm , right
inform , expensive
inform , i need an expensive restaurant
inform , kosher
